github_label,module
"component: Type of proposed advertisement",advertisement-types
"component: advertisement period",advert-period
"component: agent contact details",agent-contact
"component: applicant contact details",applicant-contact
"component: application for tree works - checklist",checklist
"component: application reqs - checklist",checklist
"component: checklist",checklist
"component: declaration",declaration
"component: demolition",demolition
"component: designated area",designated-areas
"component: details proposed adverts",proposed-advert-details
"component: employment",employment
"component: foul sewage",foul-sewage
"component: pedestrian and vehicle access",access-rights-of-way
"component: planning application req - checklist",checklist
"component: processes and machinery",processes-machinery-waste
"component: res units",res-units
"component: site area",site-area
"component: trade effluent",trade-effluent
"component: trees location",trees-location
"component: type of dev",dev-type
"component: vehicle parking",vehicle-parking
"component: waste and storage",waste-storage-collection
"component:agent name and address",agent-details
"component:applicant name and address",applicant-details
"component:assessment of flood risk",flood-risk-assessment
"component:authority employee / member",conflict-of-interest
"component:bio geo conservation",bio-geo-arch-con
"component:biodiversity net gain",bng
"component:description of the proposal",proposal-details
"component:development description",proposal-details
"component:eligibility",eligibility
"component:eligibility current building",eligibility-current-building
"component:ground for app",grounds-for-application
"component:grounds for app ldc",grounds-ldc
"component:immunity from listing",immunity-from-listing
"component:location of advertisement(s)",advert-location
"component:materials",materials
"component:neighbour and community consultation",community-consultation
"component:non-res floorspace",non-res-floorspace
"component:ownership certificates",ownership-certs
"component:ownership certs + agr",ownership-certs
"component:pre-application advice",pre-app-advice
"component:site address details",site-details
"component:site visit",site-visit
