reference,name,notes,application-types
world-heritage-site,World Heritage Site,Site of global cultural or natural importance,extraction-oil-gas;prior-approval:pa-extension
national-park,National Park,Protected area for natural beauty and recreation,extraction-oil-gas;prior-approval:pa-extension
area-outstanding-natural-beauty,Area of Outstanding Natural Beauty (AONB),Designated for distinctive landscape value,extraction-oil-gas;prior-approval:pa-extension
site-special-scientific-interest,Site of Special Scientific Interest (SSSI),"Protected for wildlife, geology, or landform",extraction-oil-gas;prior-approval:pa-extension
national-nature-reserve,National Nature Reserve,Important area for wildlife and conservation,extraction-oil-gas
conservation-area,Conservation Area,Area designated for historical or architectural significance,extraction-oil-gas;prior-approval:pa-extension
special-area-conservation,Special Area of Conservation,Designated under the EU Habitats Directive,extraction-oil-gas
special-protection-area,Special Protection Area/Ramsar site,Protected for bird species under the EU Birds Directive,extraction-oil-gas
green-belt,Green Belt,Area designated to prevent urban sprawl,extraction-oil-gas
secretary-specified-area,Secretary of State Protected Area,,prior-approval:pa-extension
the-broads,The Broads,,prior-approval:pa-extension
