reference,description,field-count,name,entry-date,start-date,end-date
agent,"Details of the agent acting on behalf of the applicant, including name and organisation if applicable
",4,Agent obj,2025-05-28,,
document,"Structure for submitted documents including reference, metadata, 
and file information
",6,Document,2025-06-20,,
advertisement-proposal-type,"Information about a specific type of advertisement including type, count, 
and additional description if 'other' type is selected
",3,Advertisement proposal type,2025-07-08,,
supporting-document,"Reference to a supporting document already listed in application.documents
",2,Supporting document,2025-06-12,,
site-owner,"Details of the owner of the development site including name and address
",2,Site owner,2025-07-09,,
floorspace-details,"Details of non-residential floorspace changes by use class including existing, lost, and proposed amounts",6,Floorspace details,2025-07-17,,
waste-management,"Details of waste management facilities including type, capacity, and throughput information
",6,Waste management,2025-07-09,,
application,"Core planning application structure containing reference information,
application types, submission details, modules, documents, and fees
",8,Planning application,2025-06-20,,
unit-quantities,"Structure for defining quantities of units, either as unknown or broken down by bedroom count
",3,Unit quantities,2025-07-17,,
related-proposal,"Details about a related proposal including its reference, type and decision date
",3,Related proposal,2025-09-09,,
room-details-outline,"Details of room changes for hotels, residential institutions and hostels (C1, C2, C2A use classes)",8,Room details,2025-08-28,,
advertisement,"Details of a proposed advertisement including dimensions, materials, and illumination",12,Advertisement,2025-07-17,,
habitat-loss-details,"Details about habitat loss or degradation events that occurred after January 30, 2020
",3,Habitat loss details,2025-06-16,,
notified-person,Details of a person that has been notified (often owners and agricultural tenants of the land),2,Notified person,2025-06-13,,
file,"Structure for digital files to be included in the submission of an application
",4,File,2025-06-20,,
operational-times,Opening times structure for operational hours by day,3,Operational times,2025-07-16,,
supporting-applications,"Planning permissions, certificates, or notices affecting the application site
",3,Supporting applications,2025-07-10,,
waste-streams,"Annual throughput for different types of waste streams
",4,Waste streams,2025-07-09,,
parking-space,"Information about parking spaces by vehicle type, including existing
and proposed counts with net change calculations
",6,Parking space,2025-07-08,,
employees,"Employee count information including full-time, part-time, and 
total full-time equivalent (FTE) calculations
",3,Employees,2025-07-08,,
hours-of-operation,Hours of operation structure for non-residential use,4,Hours of operation,2025-07-16,,
existing-use-detail,"Information about a specific existing use on the site, including use class,
additional details, and which part of the land it relates to
",3,Existing use detail,2025-07-09,,
bng-exemption-reason,"Reason why Biodiversity Net Gain does not apply, referencing specific
exemptions or transitional arrangements
",2,BNG exemption reason,2025-07-15,,
existing-use,"Information about the current use of a site, including the use classes 
and associated floorspace
",2,Existing use,2025-06-26,,
use,"A specific use class or type of use for a site or building
",2,Use,2025-06-26,,
building-element,"Describes the materials used for a specific part of a building, 
such as walls, roof, windows or doors
",5,Building element,2025-06-13,,
other-contact,"Details of another contact person for site visits when not using the applicant or agent
",3,Other contact,2025-06-12,,
person,"Details of an individual
",5,Person obj,2025-05-28,,
hazardous-substance,"Information about a specific hazardous substance including its type,
name (if other), and quantity in tonnes
",3,Hazardous substance,2025-07-09,,
plans-document,"Structure for plans, drawings, and supporting documents in planning applications
",1,Plans document,2025-07-14,,2026-01-14
replacement-document,"Structure for documents being replaced in non-material amendments,
mapping old document references to new document references held in application.documents
",2,Replacement document,2025-07-15,,
site-area,"Information about the total area of a development site, including 
the measured value, unit, and source of the measurement
",3,Site area,2025-06-26,,
time-range,Time range structure for opening and closing times,2,Time range,2025-07-16,,
address,"Address information including text representation, postcode, and UPRN
",3,Address,2025-07-07,,
replacement-drawing,"Details of an approved drawing being replaced by a new drawing, 
including references to both old and new drawings
",3,Replacement drawing,2025-06-26,,
non-residential-use,"Structure for defining non-residential use amounts, which can be expressed as 
floorspace or site area with exact values or ranges
",4,Non-residential use,2025-06-26,,
residential-unit-summary,"Breakdown of residential unit counts by tenure and housing type, with optional unit breakdowns
",4,Residential unit summary,2025-07-17,,
contact-details,"A substructure for recording contact details
",2,Contact details,2025-05-30,,
bng-details,"Details about the biodiversity net gain assessment including pre-development value,
habitat loss information, and required supporting documents
",9,Biodiversity net gain details,2025-06-16,,
related-permission-details,"Details about a related permission including the reference of the original application, type and decision date, and an option condition number/reference if varying
",4,Related permission-details,2025-12-05,,
room-details,"Details of room changes for hotels, residential institutions and hostels (C1, C2, C2A use classes)",5,Room details,2025-07-17,,
applicant,"Details of an individual applicant for the planning application,
including their personal information and contact details
",2,Applicant,2025-06-16,,
site-location,"Details about the location of a development site, including its boundary, 
address, and/or coordinates
",9,Site location,2025-06-13,,
phone-number,"A substructure for recording a phone number
",2,Phone number,2025-05-30,,
tree-details,"Detailed information about an individual tree including identification, 
species and proposed works
",5,Tree details,2025-06-30,,
fee,"Structure for application fees including amounts due, 
amounts paid, and transaction references
",3,Fee,2025-06-20,,
newspaper-notice,Details of the newspaper notice published for unknown owners/tenants,2,Newspaper notice,2025-06-13,,
owner,"Details of a tree owner including their personal information and contact details
",2,Tree owner,2025-06-30,,
ldc-owner-details,"Details of property owners for Listed Building Consent applications including their personal information and whether they have been informed of the application
",2,LDC Owner Details,2025-01-17,,
bedroom-count,"Structure for counting units by bedroom number, allowing for unknown bedroom counts
",3,Bedroom count,2025-07-17,,
waste-management-outline,"Details of waste management facilities including type, capacity, and throughput information. Specifically for outline applications
",8,Waste management,2025-07-09,,
ldc-interested-person,"Details of persons with an interest in the property for Listed Building Consent applications including their personal information, nature of interest, and notification status
",4,LDC Interested Person,2025-01-17,,
related-application-details,"Details about a related application including its reference, description and decision date
",3,Related application details,2025-06-12,,
floorspace-details-outline,"Details of non-residential floorspace changes by use class including existing, lost, and proposed amounts. Specifically for outline applications",9,Floorspace details,2025-07-17,,
