reference,tenure-type,specification-profile,application-types,entry-date,start-date,end-date,notes
mhclg-core-market-housing,market-housing,mhclg-core,ldc;full;outline,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-social-rented,social-rented,mhclg-core,ldc,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-intermediate-housing,intermediate-housing,mhclg-core,ldc,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-key-worker-housing,key-worker-housing,mhclg-core,ldc,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-affordable-rent,affordable-rent,mhclg-core,full;outline,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-home-ownership,home-ownership,mhclg-core,full;outline,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-starter-homes,starter-homes,mhclg-core,full;outline,2026-03-23,,,Migrated from tenure-type codelist application-types column.
mhclg-core-custom-build,custom-build,mhclg-core,full;outline,2026-03-23,,,Migrated from tenure-type codelist application-types column.
gla-market-for-sale,market-for-sale,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-market-for-rent,market-for-rent,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-self-build-and-custom-build,custom-build,gla,full;outline,2026-04-08,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-shared-equity,shared-equity,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-affordable-rent-not-lar-bm,affordable-rent-not-lar-bm,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-discount-market-sale,discount-market-sale,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-discount-market-rent,discount-market-rent,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-social-rent,social-rent,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-intermediate-other,intermediate-other,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-discount-market-llr,discount-market-llr,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-london-living-rent,london-living-rent,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-london-shared-ownership,london-shared-ownership,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-london-affordable-rent,london-affordable-rent,gla,full;outline,2026-03-23,,,Assumed to apply to full and outline applications. LDC still to confirm.
gla-starter-homes,starter-homes,gla,full;outline,2026-04-08,,,Assumed to apply to full and outline applications. LDC still to confirm.
